,Time,C0,C1,C2,C3,C4
8321,0.06556836,113.01601053171304,109.56474676808043,100.64590523489689,97.99499212664617,95.39081070327698
8322,0.10395019,113.01601053171315,109.56474676808041,100.64590523489684,97.99499212664614,95.39081070327701
8323,0.1420889,113.01601053171309,109.56474676808043,100.64590523489687,97.99499212664614,95.39081070327693
8324,0.18529893,113.01601053171309,109.56474676808041,100.64590523489687,97.99499212664618,95.39081070327698
8325,0.21631655,113.19840683439502,109.56232613104733,100.60274829792954,97.99000414714656,95.36112739435042
8326,0.2591036,113.19840683439506,109.56232613104731,100.60274829792958,97.99000414714654,95.36112739435046
8327,0.27013183,113.19840683439504,109.56232613104729,100.60274829792951,97.99000414714655,95.36112739435045
8328,0.2915903,113.01601053171309,109.5647467680804,100.64590523489679,97.9949921266462,95.39081070327694
8329,0.31338286,113.01601053171305,109.56474676808038,100.64590523489684,97.99499212664615,95.39081070327694
8330,0.31721014,113.01601053171312,109.56474676808043,100.64590523489684,97.99499212664617,95.39081070327693
8331,0.3186077,113.01601053171316,109.56474676808037,100.64590523489682,97.99499212664617,95.39081070327701
8332,0.2219755,113.01601053171309,109.56474676808043,100.64590523489689,97.99499212664617,95.39081070327688
8333,-0.07167879,113.01601053171309,109.56474676808044,100.64590523489682,97.99499212664615,95.39081070327701
8334,-0.30486488,113.01601053171314,109.5647467680804,100.64590523489686,97.99499212664617,95.39081070327691
8335,-0.50084376,113.29225527240277,109.56073255510947,100.27622942732505,98.116573836661,95.39901583970564
8336,-0.5470854,113.29225527240291,109.56073255510951,100.27622942732512,98.11657383666105,95.39901583970563
8337,-0.5488507,113.12628711490734,109.55822608614139,100.6458750161705,98.03530459996499,95.42249663352608
8338,-0.5366906,113.12628711490723,109.5582260861414,100.64587501617052,98.035304599965,95.42249663352608
8339,-0.3685887,113.12628711490727,109.55822608614137,100.64587501617058,98.035304599965,95.42249663352608
8340,-0.29909965,113.1262871149073,109.55822608614137,100.64587501617056,98.03530459996497,95.42249663352611
8341,-0.19018547,113.12628711490734,109.55822608614143,100.64587501617052,98.03530459996499,95.42249663352604
8342,-0.14161517,113.12628711490733,109.55822608614137,100.6458750161706,98.03530459996499,95.42249663352604
8343,-0.0699117,113.1262871149073,109.55822608614142,100.64587501617055,98.035304599965,95.42249663352608
8344,0.003798463,113.12628711490726,109.55822608614133,100.64587501617049,98.03530459996493,95.42249663352601
8345,0.076011755,113.12628711490726,109.55822608614139,100.64587501617046,98.03530459996492,95.42249663352607
8346,0.14252998,113.01601053171305,109.56474676808044,100.64590523489677,97.99499212664622,95.39081070327691
8347,0.20077823,113.0160105317131,109.56474676808043,100.64590523489686,97.9949921266462,95.39081070327693
8348,0.24804197,113.01601053171312,109.56474676808041,100.64590523489682,97.99499212664615,95.390810703277
8349,0.2806322,113.0160105317131,109.56474676808041,100.64590523489687,97.99499212664618,95.39081070327694
8350,0.32543078,113.01601053171318,109.56474676808041,100.64590523489687,97.9949921266462,95.39081070327695
